WEEKDAY	DATE	START	END	DONE	HRS	RATE	GROSS	WK #	HOLIDAY	ROSTER
Wednesday	30/03/2022	12:00 pm	4:00 pm	TRUE	4.00	$22.20	$88.80	14	FALSE	30/03 Wednesday 12:00PM - 4:00PM
Thursday	31/03/2022	9:00 am	1:00 pm	TRUE	4.00	$22.20	$88.80	14	FALSE	31/03 Thursday 9:00AM - 1:00PM
Friday	01/04/2022	11:00 am	3:00 pm	TRUE	4.00	$22.20	$88.80	14	FALSE	01/04 Friday 11:00AM - 3:00PM
										
Thursday	07/04/2022	1:00 pm	10:00 pm	TRUE	9.00	$22.20	$199.80	15	FALSE	07/04 Thursday 1:00PM - 10:00PM
Saturday	09/04/2022	5:00 am	10:00 am	TRUE	5.00	$28.96	$144.80	15	FALSE	09/04 Saturday 5:00AM - 10:00AM
										
Monday	11/04/2022	5:00 am	12:00 pm	TRUE	7.00	$22.20	$155.40	16	FALSE	11/04 Monday 5:00AM - 12:00PM
Wednesday	13/04/2022	5:00 am	9:00 am	TRUE	4.00	$22.20	$88.80	16	FALSE	13/04 Wednesday 5:00AM - 9:00AM
Thursday	14/04/2022	5:00 am	10:00 am	TRUE	5.00	$22.20	$111.00	16	FALSE	14/04 Thursday 5:00AM - 10:00AM
Friday	15/04/2022	5:00 am	9:00 am	TRUE	4.00	$28.96	$115.84	16	TRUE	15/04 Friday 5:00AM - 9:00AM
Saturday	16/04/2022	5:00 am	12:00 pm	TRUE	7.00	$28.96	$202.72	16	FALSE	16/04 Saturday 5:00AM - 12:00PM
										
Monday	18/04/2022	4:00 pm	10:00 pm	TRUE	6.00	$28.96	$173.76	17	TRUE	18/04 Monday 4:00PM - 10:00PM
Wednesday	20/04/2022	5:00 am	9:00 am	TRUE	4.00	$22.20	$88.80	17	FALSE	20/04 Wednesday 5:00AM - 9:00AM
										
Monday	25/04/2022	5:00 am	9:00 am	TRUE	4.00	$28.96	$115.84	18	TRUE	25/04 Monday 5:00AM - 9:00AM
Wednesday	27/04/2022	3:00 pm	10:00 pm	TRUE	7.00	$22.20	$155.40	18	FALSE	27/04 Wednesday 3:00PM - 10:00PM
Saturday	30/04/2022	5:00 am	10:00 am	TRUE	5.00	$28.96	$144.80	18	FALSE	30/04 Saturday 5:00AM - 10:00AM
Sunday	01/05/2022	5:00 am	12:00 pm	TRUE	7.00	$28.96	$202.72	18	FALSE	01/05 Sunday 5:00AM - 12:00PM
										
Monday	02/05/2022	5:00 am	10:00 am	TRUE	5.00	$28.96	$144.80	19	TRUE	02/05 Monday 5:00AM - 10:00AM
Wednesday	04/05/2022	5:00 am	10:00 am	TRUE	5.00	$22.20	$111.00	19	FALSE	04/05 Wednesday 5:00AM - 10:00AM
Wednesday	04/05/2022	3:00 pm	10:00 pm	TRUE	7.00	$22.20	$155.40	19	FALSE	04/05 Wednesday 3:00PM - 10:00PM
Friday	06/05/2022	5:00 am	9:00 am	TRUE	4.00	$22.20	$88.80	19	FALSE	06/05 Friday 5:00AM - 9:00AM
										
Wednesday	11/05/2022	5:00 am	10:00 am	TRUE	5.00	$22.20	$111.00	20	FALSE	11/05 Wednesday 5:00AM - 10:00AM
Friday	13/05/2022	5:00 am	9:00 am	TRUE	4.00	$22.20	$88.80	20	FALSE	13/05 Friday 5:00AM - 9:00AM
										
Monday	16/05/2022	5:00 am	10:00 am	TRUE	5.00	$22.20	$111.00	21	FALSE	16/05 Monday 5:00AM - 10:00AM
Wednesday	18/05/2022	5:00 am	10:00 am	TRUE	5.00	$22.20	$111.00	21	FALSE	18/05 Wednesday 5:00AM - 10:00AM
Friday	20/05/2022	3:00 pm	10:00 pm	TRUE	7.00	$22.20	$155.40	21	FALSE	20/05 Friday 3:00PM - 10:00PM
										
Monday	23/05/2022	5:00 am	10:00 am	TRUE	5.00	$22.20	$111.00	22	FALSE	23/05 Monday 5:00AM - 10:00AM
Wednesday	25/05/2022	5:00 am	10:00 am	TRUE	5.00	$22.20	$111.00	22	FALSE	25/05 Wednesday 5:00AM - 10:00AM
Friday	27/05/2022	5:00 am	9:00 am	TRUE	4.00	$22.20	$88.80	22	FALSE	27/05 Friday 5:00AM - 9:00AM
										
Monday	30/05/2022	5:00 am	10:00 am	TRUE	5.00	$29.60	$148.00	23	FALSE	30/05 Monday 5:00AM - 10:00AM
Wednesday	01/06/2022	5:00 am	10:00 am	TRUE	5.00	$29.60	$148.00	23	FALSE	01/06 Wednesday 5:00AM - 10:00AM
Thursday	02/06/2022	5:00 am	10:00 am	TRUE	5.00	$29.60	$148.00	23	FALSE	02/06 Thursday 5:00AM - 10:00AM
Friday	03/06/2022	5:00 am	10:00 am	TRUE	5.00	$29.60	$148.00	23	FALSE	03/06 Friday 5:00AM - 10:00AM
										
Monday	06/06/2022	5:00 am	10:00 am	TRUE	5.00	$29.60	$148.00	24	FALSE	06/06 Monday 5:00AM - 10:00AM
Wednesday	08/06/2022	5:00 am	10:00 am	TRUE	5.00	$29.60	$148.00	24	FALSE	08/06 Wednesday 5:00AM - 10:00AM
Friday	10/06/2022	5:00 am	10:00 am	TRUE	5.00	$29.60	$148.00	24	FALSE	10/06 Friday 5:00AM - 10:00AM
Saturday	11/06/2022	5:00 am	9:00 am	TRUE	4.00	$38.61	$154.44	24	FALSE	11/06 Saturday 5:00AM - 9:00AM
Sunday	12/06/2022	5:00 am	2:00 pm	TRUE	9.00	$38.61	$347.49	24	FALSE	12/06 Sunday 5:00AM - 2:00PM
										
Monday	13/06/2022	5:00 am	9:00 am	TRUE	4.00	$29.60	$118.40	25	FALSE	13/06 Monday 5:00AM - 9:00AM
Wednesday	15/06/2022	5:00 am	9:00 am	TRUE	4.00	$29.60	$118.40	25	FALSE	15/06 Wednesday 5:00AM - 9:00AM
Friday	17/06/2022	5:00 am	9:00 am	TRUE	4.00	$29.60	$118.40	25	FALSE	17/06 Friday 5:00AM - 9:00AM
Sunday	19/06/2022	3:00 pm	10:00 pm	TRUE	7.00	$38.61	$270.27	25	FALSE	19/06 Sunday 3:00PM - 10:00PM
										
Monday	20/06/2022	5:00 am	9:00 am	TRUE	4.00	$29.60	$118.40	26	FALSE	20/06 Monday 5:00AM - 9:00AM
Wednesday	22/06/2022	5:00 am	9:00 am	TRUE	4.00	$29.60	$118.40	26	FALSE	22/06 Wednesday 5:00AM - 9:00AM
Thursday	23/06/2022	6:00 am	10:00 am	TRUE	4.00	$29.60	$118.40	26	FALSE	23/06 Thursday 6:00AM - 10:00AM
Friday	24/06/2022	5:00 am	9:00 am	TRUE	4.00	$29.60	$118.40	26	FALSE	24/06 Friday 5:00AM - 9:00AM
Saturday	25/06/2022	2:00 pm	10:00 pm	TRUE	8.00	$38.61	$308.88	26	FALSE	25/06 Saturday 2:00PM - 10:00PM
